user,position,user_seed_genre,cont_drift,cat_drift,total_drift
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,2,3,2.338838939160541,0.5,2.838838939160541
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,3,1.6476502917986546,0.5,2.1476502917986546
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,4,3,2.876012650066566,1.0,3.876012650066566
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,5,3,2.86843720769472,1.0,3.86843720769472
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,6,3,4.1558476185780435,0.5,4.6558476185780435
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,7,3,3.2468005413238297,1.0,4.24680054132383
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,8,3,2.1158549074043926,1.0,3.1158549074043926
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,9,3,2.688635050816575,1.0,3.688635050816575
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,10,3,3.2710796747934157,0.5,3.7710796747934157
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,11,3,2.8223182551416186,0.5,3.3223182551416186
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,12,3,3.549534158758247,1.0,4.549534158758247
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,13,3,2.65456141549921,0.5,3.15456141549921
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,14,3,5.193745760388487,1.0,6.193745760388487
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,15,3,3.058241544202003,1.0,4.058241544202003
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,16,3,2.407825810276564,1.0,3.407825810276564
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,17,3,2.0039250336830534,0.0,2.0039250336830534
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,18,3,2.782620460852025,0.0,2.782620460852025
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,19,3,3.2332118307802156,1.0,4.233211830780215
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,20,3,2.0831646722295827,0.5,2.5831646722295827
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,21,3,3.2884240845465817,0.5,3.7884240845465817
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,22,3,2.1281370748900574,0.5,2.6281370748900574
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,23,3,2.2137403895626524,0.5,2.7137403895626524
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,24,3,3.1013677235588872,1.0,4.101367723558887
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,25,3,2.4466672108071306,0.5,2.9466672108071306
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,26,3,2.301976476821668,0.5,2.801976476821668
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,27,3,2.541872042536084,0.5,3.041872042536084
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,28,3,3.0185583752398215,0.5,3.5185583752398215
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,29,3,2.572936026145969,1.0,3.572936026145969
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,30,3,2.5860852447799307,1.0,3.5860852447799307
0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,31,3,4.5301532663259145,0.5,5.0301532663259145
